  #Energy        TDOS
-17.724623        0.000000
-17.695623        0.000000
-17.666623        0.000000
-17.638623        0.000000
-17.609623        0.000000
-17.580623        0.000000
-17.552623        0.000000
-17.523623        0.000000
-17.495623        0.000000
-17.466623        0.000000
-17.437623        0.000000
-17.409623        0.000000
-17.380623        0.000000
-17.351623        0.000000
-17.323623        0.000000
-17.294623        0.000000
-17.266623        0.000000
-17.237623        0.000000
-17.208623        0.000000
-17.180623        0.000000
-17.151623        0.000000
-17.122623        0.000000
-17.094623        0.000000
-17.065623        0.000000
-17.036623        0.000000
-17.008623        0.000000
-16.979623        0.000000
-16.951623        0.000000
-16.922623        0.000000
-16.893623        0.000000
-16.865623        0.000000
-16.836623        0.000000
-16.807623        0.000000
-16.779623        0.000000
-16.750623        0.000000
-16.722623        0.000000
-16.693623        0.000000
-16.664623        0.000000
-16.636623        0.000000
-16.607623        0.000000
-16.578623        0.000000
-16.550623        0.000000
-16.521623        0.000000
-16.493623        0.000000
-16.464623        0.000000
-16.435623        0.000000
-16.407623        0.000000
-16.378623        0.000000
-16.349623        0.000000
-16.321623        0.000000
-16.292623        0.000000
-16.263623        0.000000
-16.235623        0.000000
-16.206623        0.000000
-16.178623        0.000000
-16.149623        0.000000
-16.120623        0.000000
-16.092623        0.000000
-16.063623        0.000000
-16.034623        0.000000
-16.006623        0.000000
-15.977623        0.000000
-15.949623        0.000000
-15.920623        0.000000
-15.891623        0.000000
-15.863623        0.000000
-15.834623        0.000000
-15.805623        0.000000
-15.777623        0.000000
-15.748623        0.000000
-15.719623        0.000004
-15.691623        0.000238
-15.662623        0.001313
-15.634623        0.003858
-15.605623        0.008648
-15.576623        0.015506
-15.548623        0.023471
-15.519623        0.032383
-15.490623        0.041525
-15.462623        0.050628
-15.433623        0.060591
-15.405623        0.070946
-15.376623        0.082559
-15.347623        0.095096
-15.319623        0.108119
-15.290623        0.122494
-15.261623        0.137544
-15.233623        0.152461
-15.204623        0.168089
-15.176623        0.183321
-15.147623        0.199367
-15.118623        0.215810
-15.090623        0.232141
-15.061623        0.249538
-15.032623        0.267412
-15.004623        0.285125
-14.975623        0.303937
-14.946623        0.323210
-14.918623        0.342261
-14.889623        0.362466
-14.861623        0.382465
-14.832623        0.403729
-14.803623        0.425557
-14.775623        0.447112
-14.746623        0.469810
-14.717623        0.492769
-14.689623        0.515148
-14.660623        0.538580
-14.632623        0.561497
-14.603623        0.585568
-14.574623        0.609982
-14.546623        0.633880
-14.517623        0.658962
-14.488623        0.684366
-14.460623        0.709197
-14.431623        0.735224
-14.402623        0.761585
-14.374623        0.787394
-14.345623        0.814526
-14.317623        0.841124
-14.288623        0.869085
-14.259623        0.897468
-14.231623        0.925286
-14.202623        0.954532
-14.173623        0.984214
-14.145623        1.013306
-14.116623        1.043872
-14.088623        1.073748
-14.059623        1.104995
-14.030623        1.136489
-14.002623        1.167121
-13.973623        1.199108
-13.944623        1.231385
-13.916623        1.262843
-13.887623        1.295758
-13.859623        1.327860
-13.830623        1.361442
-13.801623        1.395372
-13.773623        1.428454
-13.744623        1.463066
-13.715623        1.498040
-13.687623        1.532158
-13.658623        1.567886
-13.629623        1.604005
-13.601623        1.639257
-13.572623        1.676174
-13.544623        1.712210
-13.515623        1.749939
-13.486623        1.788074
-13.458623        1.825286
-13.429623        1.864233
-13.400623        1.903601
-13.372623        1.942017
-13.343623        1.982225
-13.315623        2.021915
-13.286623        2.064632
