  #Energy        TDOS
-17.724623        0.000000
-17.695623        0.000000
-17.666623        0.000000
-17.638623        0.000000
-17.609623        0.000000
-17.580623        0.000000
-17.552623        0.000000
-17.523623        0.000000
-17.495623        0.000000
-17.466623        0.000000
-17.437623        0.000000
-17.409623        0.000000
-17.380623        0.000000
-17.351623        0.000000
-17.323623        0.000000
-17.294623        0.000000
-17.266623        0.000000
-17.237623        0.000000
-17.208623        0.000000
-17.180623        0.000000
-17.151623        0.000000
-17.122623        0.000000
-17.094623        0.000000
-17.065623        0.000000
-17.036623        0.000000
-17.008623        0.000000
-16.979623        0.000000
-16.951623        0.000000
-16.922623        0.000000
-16.893623        0.000000
-16.865623        0.000000
-16.836623        0.000000
-16.807623        0.000000
-16.779623        0.000000
-16.750623        0.000000
-16.722623        0.000000
-16.693623        0.000000
-16.664623        0.000000
-16.636623        0.000000
-16.607623        0.000000
-16.578623        0.000000
-16.550623        0.000000
-16.521623        0.000000
-16.493623        0.000000
-16.464623        0.000000
-16.435623        0.000000
-16.407623        0.000000
-16.378623        0.000000
-16.349623        0.000000
-16.321623        0.000000
-16.292623        0.000000
-16.263623        0.000000
-16.235623        0.000000
-16.206623        0.000000
-16.178623        0.000000
-16.149623        0.000000
-16.120623        0.000000
-16.092623        0.000000
-16.063623        0.000000
-16.034623        0.000000
-16.006623        0.000000
-15.977623        0.000000
-15.949623        0.000000
-15.920623        0.000000
-15.891623        0.000000
-15.863623        0.000000
-15.834623        0.000000
-15.805623        0.000000
-15.777623        0.000000
-15.748623        0.000000
-15.719623        0.000261
-15.691623        0.016440
-15.662623        0.057720
-15.634623        0.124100
-15.605623        0.206200
-15.576623        0.266800
-15.548623        0.302100
-15.519623        0.312500
-15.490623        0.318000
-15.462623        0.332200
-15.433623        0.354900
-15.405623        0.384800
-15.376623        0.416100
-15.347623        0.448500
-15.319623        0.481700
-15.290623        0.509700
-15.261623        0.528200
-15.233623        0.537300
-15.204623        0.540500
-15.176623        0.547500
-15.147623        0.559100
-15.118623        0.574900
-15.090623        0.591600
-15.061623        0.608200
-15.032623        0.624500
-15.004623        0.640700
-14.975623        0.656700
-14.946623        0.672500
-14.918623        0.688300
-14.889623        0.705100
-14.861623        0.723400
-14.832623        0.743100
-14.803623        0.762300
-14.775623        0.777300
-14.746623        0.788100
-14.717623        0.795300
-14.689623        0.803200
-14.660623        0.812800
-14.632623        0.824100
-14.603623        0.836000
-14.574623        0.847700
-14.546623        0.859300
-14.517623        0.870500
-14.488623        0.881500
-14.460623        0.892100
-14.431623        0.902900
-14.402623        0.915100
-14.374623        0.928400
-14.345623        0.942800
-14.317623        0.957000
-14.288623        0.971400
-14.259623        0.986000
-14.231623        1.001000
-14.202623        1.016000
-14.173623        1.031000
-14.145623        1.047000
-14.116623        1.061000
-14.088623        1.073000
-14.059623        1.082000
-14.030623        1.090000
-14.002623        1.098000
-13.973623        1.108000
-13.944623        1.118000
-13.916623        1.129000
-13.887623        1.141000
-13.859623        1.152000
-13.830623        1.164000
-13.801623        1.176000
-13.773623        1.187000
-13.744623        1.200000
-13.715623        1.212000
-13.687623        1.225000
-13.658623        1.239000
-13.629623        1.252000
-13.601623        1.266000
-13.572623        1.280000
-13.544623        1.294000
-13.515623        1.308000
-13.486623        1.322000
-13.458623        1.336000
-13.429623        1.350000
-13.400623        1.365000
-13.372623        1.379000
-13.343623        1.394000
-13.315623        1.441000
-13.286623        1.505000
