  #Energy        TDOS
-17.331836        0.000000
-17.289836        0.000000
-17.248836        0.000000
-17.206836        0.000000
-17.165836        0.000000
-17.123836        0.000000
-17.082836        0.000000
-17.040836        0.000000
-16.999836        0.000000
-16.957836        0.000000
-16.915836        0.000000
-16.874836        0.000000
-16.832836        0.000000
-16.791836        0.000000
-16.749836        0.000000
-16.708836        0.000000
-16.666836        0.000000
-16.624836        0.000000
-16.583836        0.000000
-16.541836        0.000000
-16.500836        0.000000
-16.458836        0.000000
-16.417836        0.000000
-16.375836        0.000000
-16.334836        0.000000
-16.292836        0.000000
-16.250836        0.000000
-16.209836        0.000000
-16.167836        0.000000
-16.126836        0.000000
-16.084836        0.000000
-16.043836        0.000000
-16.001836        0.000000
-15.959836        0.000000
-15.918836        0.000000
-15.876836        0.000000
-15.835836        0.000000
-15.793836        0.000000
-15.752836        0.000000
-15.710836        0.000000
-15.669836        0.000000
-15.627836        0.000000
-15.585836        0.000000
-15.544836        0.000000
-15.502836        0.000000
-15.461836        0.000000
-15.419836        0.000000
-15.378836        0.000000
-15.336836        0.000000
-15.294836        0.000024
-15.253836        0.000153
-15.211836        0.000518
-15.170836        0.001219
-15.128836        0.002416
-15.087836        0.004171
-15.045836        0.006693
-15.004836        0.009982
-14.962836        0.014321
-14.920836        0.019754
-14.879836        0.026244
-14.837836        0.034232
-14.796836        0.043459
-14.754836        0.054497
-14.713836        0.066941
-14.671836        0.081521
-14.629836        0.098056
-14.588836        0.117480
-14.546836        0.142348
-14.505836        0.171602
-14.463836        0.206401
-14.422836        0.244830
-14.380836        0.288491
-14.339836        0.335047
-14.297836        0.386518
-14.255836        0.441496
-14.214836        0.498322
-14.172836        0.559516
-14.131836        0.621897
-14.089836        0.688236
-14.048836        0.755128
-14.006836        0.825562
-13.964836        0.897634
-13.923836        0.983508
-13.881836        1.083636
-13.840836        1.175640
-13.798836        1.264155
-13.757836        1.345089
-13.715836        1.422558
-13.674836        1.493037
-13.632836        1.560111
-13.590836        1.622229
-13.549836        1.678174
-13.507836        1.730821
-13.466836        1.777807
-13.424836        1.821585
-13.383836        1.860236
-13.341836        1.895789
-13.299836        1.927457
-13.258836        1.941985
-13.216836        1.941985
-13.175836        1.941985
-13.133836        1.941985
-13.092836        1.941985
-13.050836        1.941985
-13.009836        1.941985
-12.967836        1.941985
-12.925836        1.941985
-12.884836        1.941985
-12.842836        1.941985
-12.801836        1.941985
-12.759836        1.941985
-12.718836        1.941985
-12.676836        1.941985
-12.634836        1.941985
-12.593836        1.941985
-12.551836        1.947282
-12.510836        1.962866
-12.468836        1.989296
-12.427836        2.024776
-12.385836        2.070474
-12.343836        2.124990
-12.302836        2.186264
-12.260836        2.256719
-12.219836        2.332487
-12.177836        2.416697
-12.136836        2.504806
-12.094836        2.600566
-12.053836        2.698864
-12.011836        2.895634
-11.969836        3.177832
-11.928836        3.437157
-11.886836        3.686406
-11.845836        3.913833
-11.803836        4.130679
-11.762836        4.326782
-11.720836        4.511855
-11.678836        4.681241
-11.637836        4.796861
-11.595836        4.872734
-11.554836        4.947969
-11.512836        5.026320
-11.471836        5.104138
-11.429836        5.185303
-11.388836        5.266011
-11.346836        5.350284
-11.304836        5.436258
-11.263836        5.521928
-11.221836        5.611535
-11.180836        5.700874
-11.138836        5.794387
-11.097836        5.887723
-11.055836        5.985520
-11.013836        6.085564
-10.972836        6.185502
-10.930836        6.290313
-10.889836        6.395068
-10.847836        6.504940
-10.806836        6.614799
-10.764836        6.726498
-10.723836        6.832422
-10.681836        6.938766
-10.639836        7.042548
-10.598836        7.140968
-10.556836        7.238450
-10.515836        7.329962
-10.473836        7.419569
-10.432836        7.502635
-10.390836        7.582834
-10.348836        7.656544
-10.307836        7.717347
-10.265836        7.761088
-10.224836        7.778667
-10.182836        7.780339
-10.141836        7.780339
-10.099836        7.780339
-10.058836        7.780339
-10.016836        7.780339
-9.974836        7.780339
-9.933836        7.780339
-9.891836        7.780339
-9.850836        7.780339
-9.808836        7.780339
-9.767836        7.780339
-9.725836        7.780339
-9.683836        7.780339
-9.642836        7.780339
-9.600836        7.780339
-9.559836        7.780339
-9.517836        7.780339
-9.476836        7.780339
-9.434836        7.780339
-9.393836        7.780339
-9.351836        7.780339
-9.309836        7.780339
-9.268836        7.780339
-9.226836        7.780339
-9.185836        7.780339
-9.143836        7.780339
-9.102836        7.780339
-9.060836        7.780339
-9.018836        7.780339
-8.977836        7.780339
-8.935836        7.780339
-8.894836        7.780339
-8.852836        7.780339
-8.811836        7.780339
-8.769836        7.780339
-8.728836        7.780339
-8.686836        7.780339
