  #Energy        TDOS
-17.331836        0.000000
-17.289836        0.000000
-17.248836        0.000000
-17.206836        0.000000
-17.165836        0.000000
-17.123836        0.000000
-17.082836        0.000000
-17.040836        0.000000
-16.999836        0.000000
-16.957836        0.000000
-16.915836        0.000000
-16.874836        0.000000
-16.832836        0.000000
-16.791836        0.000000
-16.749836        0.000000
-16.708836        0.000000
-16.666836        0.000000
-16.624836        0.000000
-16.583836        0.000000
-16.541836        0.000000
-16.500836        0.000000
-16.458836        0.000000
-16.417836        0.000000
-16.375836        0.000000
-16.334836        0.000000
-16.292836        0.000000
-16.250836        0.000000
-16.209836        0.000000
-16.167836        0.000000
-16.126836        0.000000
-16.084836        0.000000
-16.043836        0.000000
-16.001836        0.000000
-15.959836        0.000000
-15.918836        0.000000
-15.876836        0.000000
-15.835836        0.000000
-15.793836        0.000000
-15.752836        0.000000
-15.710836        0.000000
-15.669836        0.000000
-15.627836        0.000000
-15.585836        0.000000
-15.544836        0.000000
-15.502836        0.000000
-15.461836        0.000000
-15.419836        0.000000
-15.378836        0.000000
-15.336836        0.000000
-15.294836        0.001136
-15.253836        0.005182
-15.211836        0.012160
-15.170836        0.022070
-15.128836        0.034910
-15.087836        0.050690
-15.045836        0.069400
-15.004836        0.091040
-14.962836        0.115600
-14.920836        0.143100
-14.879836        0.173500
-14.837836        0.206900
-14.796836        0.243200
-14.754836        0.282400
-14.713836        0.324600
-14.671836        0.369700
-14.629836        0.417700
-14.588836        0.529800
-14.546836        0.654400
-14.505836        0.772600
-14.463836        0.884500
-14.422836        0.990100
-14.380836        1.089000
-14.339836        1.182000
-14.297836        1.269000
-14.255836        1.349000
-14.214836        1.423000
-14.172836        1.491000
-14.131836        1.552000
-14.089836        1.607000
-14.048836        1.656000
-14.006836        1.698000
-13.964836        1.734000
-13.923836        2.455000
-13.881836        2.313000
-13.840836        2.175000
-13.798836        2.040000
-13.757836        1.908000
-13.715836        1.781000
-13.674836        1.657000
-13.632836        1.537000
-13.590836        1.421000
-13.549836        1.308000
-13.507836        1.199000
-13.466836        1.093000
-13.424836        0.991700
-13.383836        0.893700
-13.341836        0.799300
-13.299836        0.708700
-13.258836        0.000000
-13.216836        0.000000
-13.175836        0.000000
-13.133836        0.000000
-13.092836        0.000000
-13.050836        0.000000
-13.009836        0.000000
-12.967836        0.000000
-12.925836        0.000000
-12.884836        0.000000
-12.842836        0.000000
-12.801836        0.000000
-12.759836        0.000000
-12.718836        0.000000
-12.676836        0.000000
-12.634836        0.000000
-12.593836        0.000000
-12.551836        0.252200
-12.510836        0.508000
-12.468836        0.750600
-12.427836        0.980100
-12.385836        1.196000
-12.343836        1.400000
-12.302836        1.589000
-12.260836        1.766000
-12.219836        1.930000
-12.177836        2.080000
-12.136836        2.218000
-12.094836        2.342000
-12.053836        2.453000
-12.011836        6.917000
-11.969836        6.521000
-11.928836        6.129000
-11.886836        5.740000
-11.845836        5.354000
-11.803836        4.972000
-11.762836        4.594000
-11.720836        4.219000
-11.678836        3.847000
-11.637836        1.793000
-11.595836        1.820000
-11.554836        1.850000
-11.512836        1.881000
-11.471836        1.915000
-11.429836        1.950000
-11.388836        1.987000
-11.346836        2.026000
-11.304836        2.068000
-11.263836        2.111000
-11.221836        2.156000
-11.180836        2.202000
-11.138836        2.251000
-11.097836        2.302000
-11.055836        2.355000
-11.013836        2.409000
-10.972836        2.466000
-10.930836        2.525000
-10.889836        2.585000
-10.847836        2.647000
-10.806836        2.712000
-10.764836        2.607000
-10.723836        2.560000
-10.681836        2.504000
-10.639836        2.438000
-10.598836        2.363000
-10.556836        2.279000
-10.515836        2.185000
-10.473836        2.082000
-10.432836        1.970000
-10.390836        1.849000
-10.348836        1.661000
-10.307836        1.305000
-10.265836        0.777900
-10.224836        0.079620
-10.182836        0.000000
-10.141836        0.000000
-10.099836        0.000000
-10.058836        0.000000
-10.016836        0.000000
-9.974836        0.000000
-9.933836        0.000000
-9.891836        0.000000
-9.850836        0.000000
-9.808836        0.000000
-9.767836        0.000000
-9.725836        0.000000
-9.683836        0.000000
-9.642836        0.000000
-9.600836        0.000000
-9.559836        0.000000
-9.517836        0.000000
-9.476836        0.000000
-9.434836        0.000000
-9.393836        0.000000
-9.351836        0.000000
-9.309836        0.000000
-9.268836        0.000000
-9.226836        0.000000
-9.185836        0.000000
-9.143836        0.000000
-9.102836        0.000000
-9.060836        0.000000
-9.018836        0.000000
-8.977836        0.000000
-8.935836        0.000000
-8.894836        0.000000
-8.852836        0.000000
-8.811836        0.000000
-8.769836        0.000000
-8.728836        0.000000
-8.686836        0.000000
